relative_time,LinearAccelerometerSensor,AccX,AccY
103958,0.21644220466633804,,-1.3720500469207764
103962,,8.217000007629395,
103963,,,-1.3459500074386597
103967,,8.152050018310547,
103968,,,-1.336050033569336
103972,,8.181000709533691,-1.4389500617980957
103975,,,
103978,0.15302611023698479,8.413050651550293,-1.5400500297546387
103982,,8.683950424194336,
103983,,,-1.6519501209259033
103987,,8.971050262451172,
103988,,,-1.7239500284194946
103992,,9.208050727844238,
103993,,,-1.7119500637054443
103998,,9.45300006866455,-1.801050066947937
103999,0.27808209313308613,,
104003,,9.582000732421875,-1.7890501022338867
104008,,9.733050346374512,-1.8270001411437988
104012,,9.850050926208496,
104013,,,-1.8220500946044922
104016,,,
104020,,9.831000328063965,-1.7869501113891602
104021,0.43111422101285934,,
104023,,9.75195026397705,
104024,,,-1.7359501123428345
104028,,9.634050369262695,
104029,,,-1.7149500846862793
104032,,9.529050827026367,
104033,,,-1.7100000381469727
104038,0.5489994745443084,9.345000267028809,
104039,,,-1.6879501342773438
104043,,9.157950401306152,-1.675950050354004
104048,,8.983050346374512,-1.6840500831604004
104052,,8.892000198364258,
104053,,,-1.6879501342773438
104055,,,
104056,,,
104058,,8.822999954223633,
104059,,,-1.7170500755310059
104062,0.5075367692490269,,
104064,,8.73900032043457,-1.7149500846862793
104069,,8.701050758361816,
104070,,,-1.7200500965118408
104073,,8.581050872802734,
104074,,,-1.7290500402450562
104078,0.41009980676200425,,
104079,,8.260050773620605,-1.7940000295639038
104083,,7.978050231933594,
104084,,,-1.9350000619888306
104088,,7.735950469970703,
104089,,,-2.1790502071380615
104093,,7.606950283050537,-2.512050151824951
104098,0.3610086214087488,7.6110005378723145,-2.8180501461029053
104103,,7.657050132751465,
104104,,,-3.094050168991089
104108,,7.755000591278076,-3.38100004196167
104113,,8.053950309753418,-3.6229500770568848
104118,,8.586000442504883,
104119,0.3584506960820173,,-4.008000373840332
104123,,9.357000350952148,
104124,,,-4.516050338745117
